tps;NETRAD_1havant;PPFD_IN_1havant;RH;SW_IN_1havant;TA;FC_1havant;H_1havant;LE;SB;G;VPD;FDS
00:00:00;-35,1888557214;0,0188557214;84,7066169154;-1,1875621891;11,6732835821;3,4311055276;-28,44975;0,5217297297;-4,2194527363;-3,1602736318;0,2388073883;0,0048330369
00:30:00;-33,4466666667;0,0149751244;85,6366666667;-1,1167661692;11,4526368159;3,7722110553;-27,9747;0,2474594595;-4,3241293532;-3,2879353234;0,2191191681;-0,0312041654
01:00:00;-32,5060696517;0,0176616915;86,1391542289;-1,1480597015;11,2994029851;3,7479899497;-28,85415;-0,0372677596;-4,4146268657;-3,3502985075;0,2094524029;-0,0426660274
01:30:00;-31,6795;0,0172;86,5016;-1,1568;11,1687;3,9913567839;-28,4804522613;-0,1369230769;-4,47075;-3,41825;0,2021613304;-0,0618909869
02:00:00;-30,67975;0,0204;86,9116;-1,0506;11,05005;3,9195454545;-27,8076884422;-0,9200549451;-4,39625;-3,35915;0,1947093387;-0,0806115568
02:30:00;-29,4745273632;0,0173631841;87,1734825871;-1,0647263682;10,9350248756;4,1441919192;-27,4589447236;-0,5183606557;-4,2307960199;-3,2011442786;0,1901607157;-0,0970420217
03:00:00;-27,4229353234;0,0284079602;87,5390547264;-0,9828855721;10,8287064677;3,9909547739;-27,9275879397;-0,2268852459;-4,0190049751;-2,9959950249;0,1836322743;-0,0984641833
03:30:00;-26,6670646766;0,4468159204;87,3813930348;-0,6919900498;10,8465671642;3,5381909548;-24,8034170854;-0,0112568306;-3,7135820896;-2,7149502488;0,1869916661;-0,0930127026
04:00:00;-24,3200497512;4,5917910448;86,8831840796;1,8031840796;10,9977114428;3,4377777778;-25,233718593;0,5576502732;-3,3565671642;-2,3681094527;0,1976852106;-0,0631191836
04:30:00;-16,598159204;18,3230845771;86,1202487562;11,18;11,257;3,4812121212;-25,358241206;1,8862087912;-2,8862686567;-1,9477860697;0,2160432045;0,004060692
05:00:00;-1,5741791045;46,5176119403;85,0770149254;30,1271641791;11,6201;3,0299497487;-22,2445728643;6,7438797814;-2,2944278607;-1,4074875622;0,2410035648;0,1603043087
05:30:00;20,7083084577;88,6735323383;84,0241293532;58,5693034826;12,1423115578;1,0627638191;-17,3129648241;12,3905464481;-1,1531840796;-0,3748507463;0,2723676053;0,4186446298
06:00:00;52,6452736318;163,7324;82,5309452736;97,9655721393;12,73685;-1,2992462312;-5,4566834171;21,3802185792;-0,065920398;0,5389800995;0,3135130994;0,8516066922
06:30:00;90,21960199;242,4403015075;80,8958208955;143,326119403;13,1962;-2,3296954315;2,8311557789;31,8654945055;0,4653233831;0,8935572139;0,3507077591;1,2681028774
07:00:00;138,8232835821;332,3500995025;78,7633830846;201,632238806;13,776119403;-3,748680203;15,9458291457;41,5185635359;1,4074129353;1,5477114428;0,408373282;1,7020091665
07:30:00;178,6132338308;369,8365217391;76,4328855721;250,4828855721;14,258159204;-6,0975126904;25,2855050505;56,1244382022;2,3977114428;2,2439800995;0,4679478132;2,0004554209
08:00:00;218,8057920792;510,5607920792;73,7815346535;299,1656930693;14,8062871287;-7,1772588832;36,9159798995;75,2542541436;3,5189108911;3,0806683168;0,5387082437;2,8520245086
08:30:00;254,7807920792;587,1162871287;71,2846039604;342,9820792079;15,3181683168;-8,9866497462;47,4412182741;87,6679120879;4,6798514851;4,085990099;0,6065541453;3,3140917223
09:00:00;314,2382673267;712,0323267327;69,239009901;416,1930693069;15,7301485149;-10,1311111111;66,2422727273;98,4468306011;6,1352475248;4,9216584158;0,660715351;3,8754813819
09:30:00;348,3041293532;784,0518905473;67,1589054726;457,7262189055;16,1735820896;-11,6096954315;78,6331313131;109,7148351648;6,5311442786;5,1034328358;0,7203455805;4,3067757098
10:00:00;366,6795522388;825,4055721393;65,3325373134;480,9743283582;16,4811940299;-12,3498484848;85,9106060606;116,3855978261;7,0682089552;5,6210447761;0,7714185373;4,5472462174
10:30:00;388,3378109453;873,803880597;63,7031343284;508,2583084577;16,8195522388;-12,8847715736;95,2538265306;124,84625;7,4412437811;5,8978855721;0,8213614669;4,8263567757
11:00:00;393,379800995;887,0841293532;62,1040298507;515,0838308458;17,1491542289;-12,8622613065;95,0946733668;134,1884782609;7,6002487562;5,9965671642;0,8718202103;5,031982116
11:30:00;409,2097014925;926,8480597015;61,196119403;537,3469651741;17,3314427861;-13,0525757576;102,7718592965;126,1773224044;7,7251243781;6,1206716418;0,9020523411;5,0662623965
12:00:00;417,3226368159;950,9802487562;60,5692039801;549,6910447761;17,47;-12,8854822335;107,7231658291;122,3828804348;7,6900497512;6,0702736318;0,9268096185;5,1023178143
12:30:00;381,4209452736;881,391641791;60,3177114428;507,7523880597;17,5705970149;-11,9155276382;93,6863819095;121,5821978022;7,4948258706;5,9490547264;0,9428853716;4,9260623199
13:00:00;354,6469651741;830,6424378109;60,5535820896;476,3948756219;17,621641791;-11,4050251256;83,2701507538;110,1974054054;7,3021890547;5,8267164179;0,941944738;4,67599201
13:30:00;327,9529850746;780,1322885572;60,5782089552;445,1476616915;17,6401492537;-11,4744387755;77,921959799;105,5824043716;7,0445273632;5,6478109453;0,9409067859;4,5011299317
14:00:00;293,5950746269;714,3810447761;60,9487064677;405,5026368159;17,6356716418;-10,7009090909;61,41365;93,625326087;6,6855223881;5,3731840796;0,9415205258;4,2180697941
14:30:00;262,0481094527;657,4381094527;61,6319900498;371,1324875622;17,5660696517;-10,2607575758;52,9998994975;80,2155434783;6,1694029851;4,9392288557;0,9254403499;3,9075374878
15:00:00;220,2241791045;575,2658706468;62,1482089552;323,1378109453;17,4650248756;-8,9332323232;42,24735;69,6116666667;5,549800995;4,4972885572;0,9134479439;3,5145300268
15:30:00;180,6017412935;494,4554228856;63,184278607;277,2539303483;17,2820895522;-7,9116;30,16015;52,3515591398;4,7662189055;3,8595522388;0,8825564063;3,0546911826
16:00:00;138,4349253731;413,1882587065;64,4190049751;229,6377114428;16,953681592;-6,8036;16,60875;36,4582258065;3,8612437811;3,1694776119;0,8405968452;2,5980440936
16:30:00;98,9473134328;337,9432835821;65,9119402985;185,2530348259;16,5973631841;-5,5712060302;6,783718593;25,0927272727;2,9458;2,4289552239;0,7964923303;2,192138248
17:00:00;54,294079602;247,4647263682;68,063681592;133,0539303483;16,1784577114;-3,8992;-3,7040201005;13,5172192513;1,9800995025;1,745199005;0,7338283782;1,6873189564
17:30:00;18,9479104478;167,9568159204;70,1170646766;89,9099502488;15,7217412935;-1,96075;-14,13385;6,4237634409;1,2032338308;1,1702487562;0,6654567016;1,2442148594
18:00:00;-6,7327363184;104,2260199005;72,1604477612;56,3261691542;15,2120895522;-0,8773;-18,91295;1,7221621622;0,5066666667;0,6374875622;0,5963873049;0,8834744988
18:30:00;-26,554278607;55,4521890547;74,0485074627;29,6952238806;14,7376616915;0,5661;-25,5632;1,2214594595;-0,2357711443;0,0808955224;0,5365266524;0,6243671911
19:00:00;-38,7853731343;23,1601492537;76,3929850746;11,2938308458;14,2076616915;1,2744;-25,3361616162;1,0852150538;-0,8956218905;-0,413681592;0,4603084004;0,4069609346
19:30:00;-42,504278607;6,66960199;78,5517412935;1,8758706468;13,715920398;1,8032;-29,3365;0,6464516129;-1,5087064677;-0,8618159204;0,3953651868;0,2729896026
20:00:00;-43,1045771144;0,7995024876;79,4037313433;-1,229800995;13,4114925373;2,3094974874;-29,2247738693;0,4062365591;-2,0267661692;-1,2453731343;0,3703324842;0,1956350028
20:30:00;-42,17005;0,0443;80,11165;-1,53465;13,1952;3,052979798;-31,2938383838;0,7079569892;-2,35555;-1,5384;0,3485287397;0,1551151199
21:00:00;-40,6570149254;0,0195024876;80,910199005;-1,348358209;12,9111442786;3,4155778894;-33,33885;0,0925806452;-2,714278607;-1,8419651741;0,3269551102;0,1183146166
21:30:00;-38,8583084577;0,0213432836;81,6475621891;-1,2622885572;12,6449253731;3,6774242424;-33,3212;0,3697282609;-2,9967164179;-2,1022636816;0,3067552659;0,0904352432
22:00:00;-37,9031343284;0,0205970149;82,5702487562;-1,2271641791;12,3522885572;3,8131;-32,9959;0,1539673913;-3,3100995025;-2,3630099502;0,2831670148;0,0538684735
22:30:00;-37,3387562189;0,0213432836;83,0414925373;-1,27;12,179800995;4,20935;-32,5224;-0,4671351351;-3,6059701493;-2,6227363184;0,2744549085;0,0197907523
23:00:00;-36,4349748744;0,0185427136;83,5448241206;-1,2259296482;11,9982914573;4,1951515152;-33,0226767677;-0,3791803279;-3,8792462312;-2,8358040201;0,2634268453;0,0084136974
23:30:00;-35,6607960199;0,0168159204;84,004278607;-1,1647263682;11,8665174129;3,4489;-28,9491;0,1117837838;-4,0513432836;-3,0105721393;0,2527702423;0,0167925593
