X,factMultMin,factMultMax,step,minVal,maxVal
NETRAD,0,2,0.5,0,800
P,0,4,1,0,4
PA,0.95,1.03,0.1,96,99.2
PPFD_DIF,0,2,0.5,0,1000
PPFD_IN,0,1.5,0.25,0,1600
PPFD_OUT,0,2,0.5,0,70
RH,0.4,1.4,0.2,30,100
SW_IN,0,2,0.5,0,1000
SW_OUT,0,2,0.5,0,150
TA,0,2,0.5,0,35
TS,0.5,1.5,0.25,6,19
TS2,0.5,1.5,0.25,7,19
TS3,0.5,1.5,0.25,7,17
WD,0,2,0.5,0,360
WS,0,2,0.5,0,6
CO2,0.95,1.05,0.025,390,450
FC,0,2,0.5,-30,20
H,0,2,0.5,-80,300
H2O,0,3,0.5,5,20
LE,0,3,0.5,-10,400
SB,0,2,0.5,-15,20
SC,0,5,1,-20,20
SH,0,4,1,-60,60
SLE,0,10,2,-200,200
TAU,0,2,0.5,0,3
USTAR,0,2,0.5,0,1.5
ZL,0,5,1,-50,10
PRI,0.7,1.3,0.1,0.4,0.7
G,0,3,0.5,-15,20
VPD,0,2,0.5,0,3